ID,modified,rightsHolder,references,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,basisOfRecord,occurrenceID,catalogNumber,recordedBy,individualCount,organismQuantity,organismQuantityType,sex,lifeStage,behavior,establishmentMeans,occurrenceStatus,associatedReferences,associatedSequences,associatedTaxa,otherCatalogNumbers,occurrenceRemarks,eventDate,eventID,identificationID,typeStatus,identifiedBy,dateIdentified,identificationRemarks,identificationQualifier,country,stateProvince,county,municipality,locality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,taxonID,acceptedNameUsageID,scientificName,acceptedNameUsage,kingdom,phylum,class,order,family,genus,taxonRank,recordedByID,identifiedByID,materialSampleID,samplingProtocol,Organism id
OBS6824656,2026-05-04T09:17:20Z,Elias Polemis,,,,108820,,,Citizens for FunDive,HumanObservation,6824656,,Elias Polemis,1,1,individuals,,,,,present,,,,,unripe mushrooms,2024-07-18T11:55:29Z,https://app.plutof.ut.ee/event/view/14221623,26272146,,Elias Polemis,2024-07-18,Identified using Danish Fungal Atlas,,Greece,,Κεντρική Μακεδονία,Ρητίνη,,40.24116944,22.19127222,WGS84,,46KGK,,Neolentinus lepideus (Fr.) Redhead & Ginns,,Fungi,Basidiomycota,Agaricomycetes,Gloeophyllales,Gloeophyllaceae,Neolentinus,Species,,,,,
OBS7190011,2026-05-04T09:17:20Z,Kadri Pärtel,,,,108820,,,Citizens for FunDive,HumanObservation,7190011,,Kadri Pärtel,1,1,individuals,,,,,present,,,,,,2024-09-14T09:57:00Z,https://app.plutof.ut.ee/event/view/14685055,26743153,,Kadri Pärtel,2024-09-14,,,Estonia,,Tartu maakond,Nõo vald,,58.162522,26.4161619,WGS84,,3FG8N,,Geastrum fimbriatum Fr.,,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,Geastrum,Species,,,,,
OBS7190012,2026-05-04T09:17:20Z,Kadri Pärtel,,,,108820,,,Citizens for FunDive,HumanObservation,7190012,,Kadri Pärtel,1,1,individuals,,,,,present,,,,,,2024-09-14T08:21:00Z,https://app.plutof.ut.ee/event/view/14685056,26743154,,Kadri Pärtel,2024-09-14,,,Estonia,,Tartu maakond,Nõo vald,,58.15756,26.4173047,WGS84,,3FG8N,,Geastrum fimbriatum Fr.,,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,Geastrum,Species,,,,,
OBS7194111,2026-05-04T09:17:20Z,Holger Thüs,,,,108820,,,Citizens for FunDive,HumanObservation,7194111,,Holger Thüs,1,1,individuals,,,,,present,,,,,,2024-09-15T13:34:00Z,https://app.plutof.ut.ee/event/view/14688110,26747775,,Holger Thüs,2024-09-15,Identified using Danish Fungal Atlas,,Germany,,Baden-Württemberg,Stuttgart,,48.80152834,9.13969528,WGS84,,3FG8N,,Geastrum fimbriatum Fr.,,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,Geastrum,Species,,,,,
OBS7195340,2026-05-04T09:17:20Z,Amanda Sandberg,,,,108820,,,Citizens for FunDive,HumanObservation,7195340,,Amanda Sandberg,1,1,individuals,,,,,present,,,,,,2024-09-20T07:31:00Z,https://app.plutof.ut.ee/event/view/14690222,26749885,,Amanda Sandberg,2024-09-20,,,Sweden,,Östergötlands län,,,58.3969153,16.5884086,WGS84,5,6MHWP,,Hydnellum ferrugineum (Fr.) P. Karst.,,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Hydnellum,Species,,,,,
OBS7198744,2026-05-04T09:17:20Z,Bálint Dima,,,,108820,,,Citizens for FunDive,HumanObservation,7198744,,Bálint Dima,2,2,individuals,,,,,present,,,,,,2023-11-18T10:06:00Z,https://app.plutof.ut.ee/event/view/14693642,26753988,,Bálint Dima,2023-11-18,,,Hungary,,,Gönyű,,47.7190569,17.84598213,WGS84,,L3K2,,Battarrea phalloides (Dicks.) Pers.,,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Battarrea,Species,,,,,
OBS7198748,2026-05-04T09:17:20Z,Bálint Dima,,,,108820,,,Citizens for FunDive,HumanObservation,7198748,,Bálint Dima,10,10,individuals,,,,,present,,,,,,2023-08-10T09:39:00Z,https://app.plutof.ut.ee/event/view/14693646,26753992,,Bálint Dima,2023-08-10,,,Hungary,,,Németkér,,46.74737374,18.7241739,WGS84,,,,Calvatia fragilis (Vittad.) Morgan,,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Calvatia,Species,,,,,
OBS7216297,2026-05-04T09:17:20Z,Irene Mazza,,,,108820,,,Citizens for FunDive,HumanObservation,7216297,,Irene Mazza,1,1,individuals,,,,In wild,present,,,,,,2024-10-08T12:15:00Z,https://app.plutof.ut.ee/event/view/14711947,26790180,,Irene Mazza,2024-10-08,,,Italy,,Toscana,Asciano,,43.29548588,11.45129442,WGS84,,63W82,,Tulostoma Pers.,,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,Genus,,,,,
OBS7216418,2026-05-04T09:17:20Z,Michał Kochanowski,,,,108820,,,Citizens for FunDive,HumanObservation,7216418,,Michał Kochanowski,1,1,individuals,,,,,present,,,,,,2024-10-18T08:09:00Z,https://app.plutof.ut.ee/event/view/14712050,26793046,,Michał Kochanowski,2024-10-18,,,Czechia,,Jihočeský kraj,,,48.73275,14.1239933,WGS84,64,F,,Fungi R.T. Moore,,,,,,,,Kingdom,,,,,
OBS7216545,2026-05-04T09:17:21Z,Michał Kochanowski,,,,108820,,,Citizens for FunDive,HumanObservation,7216545,,Michał Kochanowski,1,1,individuals,,,,,present,,,,,,2024-10-18T12:22:00Z,https://app.plutof.ut.ee/event/view/14712301,26793684,,Michał Kochanowski,2024-10-18,,,Czechia,,Jihočeský kraj,,,48.7341621,14.1220916,WGS84,7,6RVJ9,,Nectriopsis violacea (J.C. Schmidt) Maire,,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Nectriopsis,Species,,,,,
